review_id,review_date,product_id,product_name,user_id,channel,rating,review_text
20251114-M-001,2025-11-14,P105,Product 5,U8951,mobile,3,기대했던 것과 비슷합니다.
20251114-M-002,2025-11-14,P109,Product 9,U6097,mobile,1,품질이 생각보다 좋지 않습니다.
20251109-A-003,2025-11-09,P103,Product 3,U6312,app,3,가격을 생각하면 적당한 것 같습니다.
20251110-A-004,2025-11-10,P110,Product 10,U1622,app,3,특별히 나쁘지도 좋지도 않네요.
20251111-W-005,2025-11-11,P109,Product 9,U8190,web,3,보통 수준의 제품입니다.
20251113-A-006,2025-11-13,P105,Product 5,U6924,app,4,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251113-W-007,2025-11-13,P106,Product 6,U7607,web,2,배송이 너무 늦었어요. 불만족스럽습니다.
20251113-M-008,2025-11-13,P101,Product 1,U3685,mobile,1,품질이 생각보다 좋지 않습니다.
20251113-W-009,2025-11-13,P104,Product 4,U4812,web,1,사진과 실물이 너무 달라요.
20251114-M-010,2025-11-14,P108,Product 8,U8727,mobile,2,사진과 실물이 너무 달라요.
20251114-A-011,2025-11-14,P108,Product 8,U2674,app,4,배송도 빠르고 제품도 기대 이상입니다.
20251110-A-012,2025-11-10,P104,Product 4,U7190,app,5,재구매 의사 100%입니다. 강력 추천!
20251110-W-013,2025-11-10,P109,Product 9,U5023,web,4,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251109-W-014,2025-11-09,P106,Product 6,U6148,web,3,기대했던 것과 비슷합니다.
20251114-M-015,2025-11-14,P107,Product 7,U1769,mobile,1,가격 대비 별로입니다. 환불하고 싶네요.
20251110-W-016,2025-11-10,P102,Product 2,U5376,web,4,가격 대비 성능이 정말 좋네요. 추천합니다!
20251110-M-017,2025-11-10,P102,Product 2,U4108,mobile,1,사진과 실물이 너무 달라요.
20251110-A-018,2025-11-10,P109,Product 9,U5202,app,4,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251110-W-019,2025-11-10,P110,Product 10,U4137,web,5,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251114-M-020,2025-11-14,P108,Product 8,U2398,mobile,5,디자인도 예쁘고 사용하기 편리합니다.
20251111-A-021,2025-11-11,P109,Product 9,U4273,app,3,특별히 나쁘지도 좋지도 않네요.
20251114-A-022,2025-11-14,P104,Product 4,U8812,app,5,가격 대비 성능이 정말 좋네요. 추천합니다!
20251108-A-023,2025-11-08,P107,Product 7,U2049,app,5,디자인도 예쁘고 사용하기 편리합니다.
20251110-A-024,2025-11-10,P101,Product 1,U8474,app,3,특별히 나쁘지도 좋지도 않네요.
