review_id,review_date,product_id,product_name,user_id,channel,rating,review_text
20251105-A-001,2025-11-05,P101,Product 1,U6350,app,1,사진과 실물이 너무 달라요.
20251104-M-002,2025-11-04,P106,Product 6,U3403,mobile,1,기대 이하입니다. 실망스러워요.
20251102-W-003,2025-11-02,P109,Product 9,U4957,web,3,특별히 나쁘지도 좋지도 않네요.
20251105-W-004,2025-11-05,P107,Product 7,U7864,web,5,디자인도 예쁘고 사용하기 편리합니다.
20251102-A-005,2025-11-02,P110,Product 10,U2265,app,3,기대했던 것과 비슷합니다.
20251104-A-006,2025-11-04,P109,Product 9,U8767,app,5,디자인도 예쁘고 사용하기 편리합니다.
20251107-W-007,2025-11-07,P109,Product 9,U1301,web,3,특별히 나쁘지도 좋지도 않네요.
20251103-W-008,2025-11-03,P103,Product 3,U8282,web,1,품질이 생각보다 좋지 않습니다.
20251101-A-009,2025-11-01,P105,Product 5,U4004,app,3,특별히 나쁘지도 좋지도 않네요.
20251106-W-010,2025-11-06,P105,Product 5,U5728,web,2,배송이 너무 늦었어요. 불만족스럽습니다.
20251102-W-011,2025-11-02,P106,Product 6,U5375,web,1,기대 이하입니다. 실망스러워요.
20251103-W-012,2025-11-03,P108,Product 8,U2808,web,4,가격 대비 성능이 정말 좋네요. 추천합니다!
20251104-M-013,2025-11-04,P102,Product 2,U9515,mobile,2,사진과 실물이 너무 달라요.
20251106-W-014,2025-11-06,P109,Product 9,U9147,web,4,디자인도 예쁘고 사용하기 편리합니다.
20251101-M-015,2025-11-01,P104,Product 4,U7141,mobile,2,품질이 생각보다 좋지 않습니다.
20251106-M-016,2025-11-06,P108,Product 8,U3632,mobile,1,가격 대비 별로입니다. 환불하고 싶네요.
20251104-W-017,2025-11-04,P109,Product 9,U3403,web,3,무난한 제품입니다. 평범해요.
20251102-W-018,2025-11-02,P107,Product 7,U8256,web,5,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251106-M-019,2025-11-06,P107,Product 7,U7711,mobile,1,기대 이하입니다. 실망스러워요.
20251106-A-020,2025-11-06,P103,Product 3,U3995,app,5,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251105-M-021,2025-11-05,P110,Product 10,U4178,mobile,1,기대 이하입니다. 실망스러워요.
20251104-M-022,2025-11-04,P105,Product 5,U7646,mobile,2,기대 이하입니다. 실망스러워요.
20251106-W-023,2025-11-06,P105,Product 5,U2965,web,4,가격 대비 성능이 정말 좋네요. 추천합니다!
20251103-M-024,2025-11-03,P108,Product 8,U9346,mobile,2,기대 이하입니다. 실망스러워요.
20251102-W-025,2025-11-02,P108,Product 8,U7697,web,4,배송도 빠르고 제품도 기대 이상입니다.
20251104-W-026,2025-11-04,P102,Product 2,U4606,web,3,특별히 나쁘지도 좋지도 않네요.
20251105-M-027,2025-11-05,P104,Product 4,U7025,mobile,3,기대했던 것과 비슷합니다.
20251105-A-028,2025-11-05,P105,Product 5,U3016,app,1,기대 이하입니다. 실망스러워요.
20251106-M-029,2025-11-06,P110,Product 10,U6209,mobile,3,가격을 생각하면 적당한 것 같습니다.
20251103-W-030,2025-11-03,P102,Product 2,U2183,web,5,배송도 빠르고 제품도 기대 이상입니다.
20251104-M-031,2025-11-04,P104,Product 4,U1893,mobile,5,재구매 의사 100%입니다. 강력 추천!
20251105-M-032,2025-11-05,P108,Product 8,U6480,mobile,3,가격을 생각하면 적당한 것 같습니다.
20251102-W-033,2025-11-02,P107,Product 7,U4543,web,3,가격을 생각하면 적당한 것 같습니다.
20251104-W-034,2025-11-04,P108,Product 8,U3192,web,3,특별히 나쁘지도 좋지도 않네요.
20251107-A-035,2025-11-07,P109,Product 9,U8057,app,3,특별히 나쁘지도 좋지도 않네요.
20251104-W-036,2025-11-04,P106,Product 6,U3367,web,5,가격 대비 성능이 정말 좋네요. 추천합니다!
20251105-M-037,2025-11-05,P109,Product 9,U2969,mobile,1,사진과 실물이 너무 달라요.
20251107-M-038,2025-11-07,P102,Product 2,U9921,mobile,2,사진과 실물이 너무 달라요.
20251102-M-039,2025-11-02,P105,Product 5,U9969,mobile,3,특별히 나쁘지도 좋지도 않네요.
20251104-A-040,2025-11-04,P109,Product 9,U2139,app,1,가격 대비 별로입니다. 환불하고 싶네요.
20251107-A-041,2025-11-07,P101,Product 1,U4268,app,1,배송이 너무 늦었어요. 불만족스럽습니다.
20251107-M-042,2025-11-07,P106,Product 6,U1644,mobile,2,사진과 실물이 너무 달라요.
20251106-M-043,2025-11-06,P101,Product 1,U2534,mobile,2,기대 이하입니다. 실망스러워요.
